Kera,NOUN
untuk,CONJ
amankan,VERB
pesta olahraga,NOUN
Pemerintah,NOUN
kota,NOUN
Delhi,NOUN
mengerahkan,VERB
monyet,NOUN
untuk,CONJ
mengusir,VERB
monyet-monyet,NOUN
lain,ADJ
yang,CONJ
berbadan,VERB
lebih,ADV
kecil,ADJ
dari,ADP
arena,NOUN
Pesta Olahraga,NOUN
Persemakmuran,NOUN
.,.
Beberapa,NUM
laporan,NOUN
menyebutkan,VERB
setidaknya,ADV
10,NUM
monyet,NOUN
ditempatkan,VERB
di,ADP
luar,NOUN
arena,NOUN
lomba,NOUN
dan,CONJ
pertandingan,NOUN
di,ADP
ibukota,NOUN
India,NOUN
.,.
Pemkot,NOUN
Delhi,NOUN
memiliki,VERB
28,NUM
monyet,NOUN
dan,CONJ
berencana,VERB
mendatangkan,VERB
10,NUM
monyet,NOUN
sejenis,NOUN
dari,ADP
negara bagian,NOUN
Rajasthan,NOUN
.,.
Jumlah,NOUN
monyet,NOUN
di,ADP
ibukota,NOUN
India,NOUN
mencapai,VERB
ribuan,NUM
",",.
sebagian besar,NOUN
berada,VERB
di,ADP
kantor-kantor,NOUN
pemerintah,NOUN
dan,CONJ
hewan,NOUN
ini,DET
dianggap,VERB
mengganggu,VERB
ketertiban,NOUN
umum,ADJ
.,.
Jenis,NOUN
monyet,NOUN
yang,CONJ
dikerahkan,VERB
pemkot,NOUN
berbadan,VERB
besar,ADJ
",",.
berekor,VERB
panjang,ADJ
",",.
dan,CONJ
memiliki,VERB
wajah,NOUN
berwarna,VERB
hitam,ADJ
.,.
Monyet,NOUN
ini,DET
diikat,VERB
dengan,ADP
tali,NOUN
panjang,ADJ
dan,CONJ
pelatih,NOUN
yang,CONJ
mengawasi,VERB
mereka,PRON
akan,VERB
melepas,VERB
tali,NOUN
begitu,CONJ
monyet-monyet,NOUN
kecil,ADJ
lain,ADJ
mendekat,VERB
.,.
Kantor,NOUN
berita,NOUN
AFP,NOUN
melaporkan,VERB
